human,rat,mouse
PRAMEF25,Pramef17,Oog4
PRAMEF25,Pramef17,Gm13043
PRAMEF25,Pramef17,Gm13040
PRAMEF25,Pramef17,Gm13057
PRAMEF25,Pramef17,Pramel20
PRAMEF25,Pramef17,Pramel33
PRAMEF25,Pramef17,Pramel34
PRAMEF25,Pramef17,Pramel35
PRAMEF25,Pramef17,Pramel36
PRAMEF25,Pramef17,Pramel37
PRAMEF25,Pramef17,Gm6351
PRAMEF25,Pramef17,Pramel38
PRAMEF25,Pramef17,Pramel39
PRAMEF25,Pramef17,Pramel40
PRAMEF25,Pramef17,AA792892
PRAMEF25,Pramef17,Pramel41
PRAMEF25,Pramef17,Pramel41
PRAMEF25,Pramef17,Pramel42
PRAMEF25,Pramef17,Pramel43
PRAMEF25,Pramef17,Pramel44
PRAMEF25,Pramef17,Gm6205
PRAMEF25,Pramef17,Gm3183
PRAMEF25,Pramef17,Gm6367
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Gm16513
PRAMEF25,Pramef17,Pramel46
PRAMEF25,Pramef17,Pramel47
PRAMEF25,Pramef17,Pramel48
PRAMEF25,Pramef17,Gm3286
PRAMEF25,Pramef17,Pramel49
PRAMEF25,Pramef17,Pramel50
PRAMEF25,Pramef17,Gm7982
PRAMEF25,Pramef17,E330014E10Rik
PRAMEF25,Pramef17,Pramel7
PRAMEF25,Pramef17,Pramel6
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Gm16367
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Oog1
PRAMEF25,RGD1562932,Gm2042
PRAMEF25,RGD1562932,Pramel51
PRAMEF25,RGD1562932,Pramel32
PRAMEF25,RGD1562932,Pramel17
PRAMEF25,RGD1562932,C130073F10Rik
PRAMEF25,RGD1562932,Pramel18
PRAMEF25,RGD1562932,Pramel19
PRAMEF25,RGD1562932,Gm12790
PRAMEF25,RGD1562932,Gm12789
PRAMEF25,RGD1562932,Pramel21
PRAMEF25,RGD1562932,Pramel22
PRAMEF25,RGD1562932,Pramel23
PRAMEF25,RGD1562932,Pramel24
PRAMEF25,RGD1562932,Pramel25
PRAMEF25,RGD1562932,Pramel26
PRAMEF25,RGD1562932,Pramel27
PRAMEF25,RGD1562932,Pramel11
PRAMEF25,RGD1562932,Pramel16
PRAMEF25,RGD1562932,Pramel28
PRAMEF25,RGD1562932,Pramel14
PRAMEF25,RGD1562932,Pramel4
PRAMEF25,RGD1562932,Gm13102
PRAMEF25,RGD1562932,Oog3
PRAMEF25,RGD1562932,Oog2
PRAMEF25,RGD1562932,Pramel29
PRAMEF25,RGD1562932,Pramel5
PRAMEF25,RGD1562932,Pramel30
PRAMEF25,RGD1562932,Pramel31
PRAMEF25,RGD1562932,Pramel15
PRAMEF25,RGD1562932,Pramel13
PRAMEF25,RGD1562932,Pramel1
PRAMEF25,RGD1562932,Pramel12
PRAMEF25,RGD1562932,Oog4
PRAMEF25,RGD1562932,Gm13043
PRAMEF25,RGD1562932,Gm13040
PRAMEF25,RGD1562932,Gm13057
PRAMEF25,RGD1562932,Pramel20
PRAMEF25,RGD1562932,Pramel33
PRAMEF25,RGD1562932,Pramel34
PRAMEF25,RGD1562932,Pramel35
PRAMEF25,RGD1562932,Pramel36
PRAMEF25,RGD1562932,Pramel37
PRAMEF25,RGD1562932,Gm6351
PRAMEF25,RGD1562932,Pramel38
PRAMEF25,RGD1562932,Pramel39
PRAMEF25,RGD1562932,Pramel40
PRAMEF25,RGD1562932,AA792892
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel42
PRAMEF25,RGD1562932,Pramel43
PRAMEF25,RGD1562932,Pramel44
PRAMEF25,RGD1562932,Gm6205
PRAMEF25,RGD1562932,Gm3183
PRAMEF25,RGD1562932,Gm6367
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Gm16513
PRAMEF25,RGD1562932,Pramel46
PRAMEF25,RGD1562932,Pramel47
PRAMEF25,RGD1562932,Pramel48
PRAMEF25,RGD1562932,Gm3286
PRAMEF25,RGD1562932,Pramel49
PRAMEF25,RGD1562932,Pramel50
PRAMEF25,RGD1562932,Gm7982
PRAMEF25,RGD1562932,E330014E10Rik
PRAMEF25,RGD1562932,Pramel7
PRAMEF25,RGD1562932,Pramel6
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Gm16367
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Oog1
PRAMEF25,RGD1562932,Gm2042
PRAMEF25,RGD1562932,Pramel51
PRAMEF25,RGD1562932,Pramel32
PRAMEF25,RGD1562932,Pramel17
PRAMEF25,RGD1562932,C130073F10Rik
PRAMEF25,RGD1562932,Pramel18
PRAMEF25,RGD1562932,Pramel19
PRAMEF25,RGD1562932,Gm12790
PRAMEF25,RGD1562932,Gm12789
PRAMEF25,RGD1562932,Pramel21
PRAMEF25,RGD1562932,Pramel22
PRAMEF25,RGD1562932,Pramel23
PRAMEF25,RGD1562932,Pramel24
PRAMEF25,RGD1562932,Pramel25
PRAMEF25,RGD1562932,Pramel26
PRAMEF25,RGD1562932,Pramel27
PRAMEF25,RGD1562932,Pramel11
PRAMEF25,RGD1562932,Pramel16
PRAMEF25,RGD1562932,Pramel28
PRAMEF25,RGD1562932,Pramel14
PRAMEF25,RGD1562932,Pramel4
PRAMEF25,RGD1562932,Gm13102
PRAMEF25,RGD1562932,Oog3
PRAMEF25,RGD1562932,Oog2
PRAMEF25,RGD1562932,Pramel29
PRAMEF25,RGD1562932,Pramel5
PRAMEF25,RGD1562932,Pramel30
PRAMEF25,RGD1562932,Pramel31
PRAMEF25,RGD1562932,Pramel15
PRAMEF25,RGD1562932,Pramel13
PRAMEF25,RGD1562932,Pramel1
PRAMEF25,RGD1562932,Pramel12
PRAMEF25,RGD1562932,Oog4
PRAMEF25,RGD1562932,Gm13043
PRAMEF25,RGD1562932,Gm13040
PRAMEF25,RGD1562932,Gm13057
PRAMEF25,RGD1562932,Pramel20
PRAMEF25,RGD1562932,Pramel33
PRAMEF25,RGD1562932,Pramel34
PRAMEF25,RGD1562932,Pramel35
PRAMEF25,RGD1562932,Pramel36
PRAMEF25,RGD1562932,Pramel37
PRAMEF25,RGD1562932,Gm6351
PRAMEF25,RGD1562932,Pramel38
PRAMEF25,RGD1562932,Pramel39
PRAMEF25,RGD1562932,Pramel40
PRAMEF25,RGD1562932,AA792892
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel42
PRAMEF25,RGD1562932,Pramel43
PRAMEF25,RGD1562932,Pramel44
PRAMEF25,RGD1562932,Gm6205
PRAMEF25,RGD1562932,Gm3183
PRAMEF25,RGD1562932,Gm6367
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Gm16513
PRAMEF25,RGD1562932,Pramel46
PRAMEF25,RGD1562932,Pramel47
PRAMEF25,RGD1562932,Pramel48
PRAMEF25,RGD1562932,Gm3286
PRAMEF25,RGD1562932,Pramel49
PRAMEF25,RGD1562932,Pramel50
PRAMEF25,RGD1562932,Gm7982
PRAMEF25,RGD1562932,E330014E10Rik
PRAMEF25,RGD1562932,Pramel7
PRAMEF25,RGD1562932,Pramel6
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Gm16367
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,
PRAMEF25,RGD1562932,Oog1
PRAMEF25,RGD1562932,Gm2042
PRAMEF25,RGD1562932,Pramel51
PRAMEF25,RGD1562932,Pramel32
PRAMEF25,RGD1562932,Pramel17
PRAMEF25,RGD1562932,C130073F10Rik
PRAMEF25,RGD1562932,Pramel18
PRAMEF25,RGD1562932,Pramel19
PRAMEF25,RGD1562932,Gm12790
PRAMEF25,RGD1562932,Gm12789
PRAMEF25,RGD1562932,Pramel21
PRAMEF25,RGD1562932,Pramel22
PRAMEF25,RGD1562932,Pramel23
PRAMEF25,RGD1562932,Pramel24
PRAMEF25,RGD1562932,Pramel25
PRAMEF25,RGD1562932,Pramel26
PRAMEF25,RGD1562932,Pramel27
PRAMEF25,RGD1562932,Pramel11
PRAMEF25,RGD1562932,Pramel16
PRAMEF25,RGD1562932,Pramel28
PRAMEF25,RGD1562932,Pramel14
PRAMEF25,RGD1562932,Pramel4
PRAMEF25,RGD1562932,Gm13102
PRAMEF25,RGD1562932,Oog3
PRAMEF25,RGD1562932,Oog2
PRAMEF25,RGD1562932,Pramel29
PRAMEF25,RGD1562932,Pramel5
PRAMEF25,RGD1562932,Pramel30
PRAMEF25,RGD1562932,Pramel31
PRAMEF25,RGD1562932,Pramel15
PRAMEF25,RGD1562932,Pramel13
PRAMEF25,RGD1562932,Pramel1
PRAMEF25,RGD1562932,Pramel12
PRAMEF25,RGD1562932,Oog4
PRAMEF25,RGD1562932,Gm13043
PRAMEF25,RGD1562932,Gm13040
PRAMEF25,RGD1562932,Gm13057
PRAMEF25,RGD1562932,Pramel20
PRAMEF25,RGD1562932,Pramel33
PRAMEF25,RGD1562932,Pramel34
PRAMEF25,RGD1562932,Pramel35
PRAMEF25,RGD1562932,Pramel36
PRAMEF25,RGD1562932,Pramel37
PRAMEF25,RGD1562932,Gm6351
PRAMEF25,RGD1562932,Pramel38
PRAMEF25,RGD1562932,Pramel39
PRAMEF25,RGD1562932,Pramel40
PRAMEF25,RGD1562932,AA792892
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel41
PRAMEF25,RGD1562932,Pramel42
PRAMEF25,RGD1562932,Pramel43
PRAMEF25,RGD1562932,Pramel44
PRAMEF25,RGD1562932,Gm6205
PRAMEF25,RGD1562932,Gm3183
PRAMEF25,RGD1562932,Gm6367
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Pramel45
PRAMEF25,RGD1562932,Gm16513
PRAMEF25,RGD1562932,Pramel46
PRAMEF25,RGD1562932,Pramel47
PRAMEF25,RGD1562932,Pramel48
PRAMEF25,RGD1562932,Gm3286
PRAMEF25,RGD1562932,Pramel49
PRAMEF25,RGD1562932,Pramel50
PRAMEF25,RGD1562932,Gm7982
PRAMEF25,RGD1562932,E330014E10Rik
PRAMEF25,RGD1562932,Pramel7
PRAMEF25,RGD1562932,Pramel6
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,Gm16367
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,
PRAMEF25,Pramef17,Oog1
PRAMEF25,Pramef17,Gm2042
PRAMEF25,Pramef17,Pramel51
PRAMEF25,Pramef17,Pramel32
PRAMEF25,Pramef17,Pramel17
PRAMEF25,Pramef17,C130073F10Rik
PRAMEF25,Pramef17,Pramel18
PRAMEF25,Pramef17,Pramel19
PRAMEF25,Pramef17,Gm12790
PRAMEF25,Pramef17,Gm12789
PRAMEF25,Pramef17,Pramel21
PRAMEF25,Pramef17,Pramel22
PRAMEF25,Pramef17,Pramel23
PRAMEF25,Pramef17,Pramel24
PRAMEF25,Pramef17,Pramel25
PRAMEF25,Pramef17,Pramel26
PRAMEF25,Pramef17,Pramel27
PRAMEF25,Pramef17,Pramel11
PRAMEF25,Pramef17,Pramel16
PRAMEF25,Pramef17,Pramel28
PRAMEF25,Pramef17,Pramel14
PRAMEF25,Pramef17,Pramel4
PRAMEF25,Pramef17,Gm13102
PRAMEF25,Pramef17,Oog3
PRAMEF25,Pramef17,Oog2
PRAMEF25,Pramef17,Pramel29
PRAMEF25,Pramef17,Pramel5
PRAMEF25,Pramef17,Pramel30
PRAMEF25,Pramef17,Pramel31
PRAMEF25,Pramef17,Pramel15
PRAMEF25,Pramef17,Pramel13
PRAMEF25,Pramef17,Pramel1
PRAMEF25,Pramef17,Pramel12
PRAMEF25,Pramef17,Oog4
PRAMEF25,Pramef17,Gm13043
PRAMEF25,Pramef17,Gm13040
PRAMEF25,Pramef17,Gm13057
PRAMEF25,Pramef17,Pramel20
PRAMEF25,Pramef17,Pramel33
PRAMEF25,Pramef17,Pramel34
PRAMEF25,Pramef17,Pramel35
PRAMEF25,Pramef17,Pramel36
PRAMEF25,Pramef17,Pramel37
PRAMEF25,Pramef17,Gm6351
PRAMEF25,Pramef17,Pramel38
PRAMEF25,Pramef17,Pramel39
PRAMEF25,Pramef17,Pramel40
PRAMEF25,Pramef17,AA792892
PRAMEF25,Pramef17,Pramel41
PRAMEF25,Pramef17,Pramel41
PRAMEF25,Pramef17,Pramel42
PRAMEF25,Pramef17,Pramel43
PRAMEF25,Pramef17,Pramel44
PRAMEF25,Pramef17,Gm6205
PRAMEF25,Pramef17,Gm3183
PRAMEF25,Pramef17,Gm6367
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Pramel45
PRAMEF25,Pramef17,Gm16513
PRAMEF25,Pramef17,Pramel46
PRAMEF25,Pramef17,Pramel47
PRAMEF25,Pramef17,Pramel48
PRAMEF25,Pramef17,Gm3286
PRAMEF25,Pramef17,Pramel49
PRAMEF25,Pramef17,Pramel50
PRAMEF25,Pramef17,Gm7982
PRAMEF25,Pramef17,E330014E10Rik
PRAMEF25,Pramef17,Pramel7
PRAMEF25,Pramef17,Pramel6
POGZ,Pogz,Pogz
DUSP12,Dusp12,Dusp12
COLEC12,Colec12,Colec12
EEF1G,Eef1g,Eef1g
RN7SL3,Rn7sl1,Metazoa_SRP
SEMA4B,Sema4b,Sema4b
SCCPDH,LOC103689999,Sccpdh
GPR139,Gpr139,Gpr139
RN7SKP40,7SK,7SK
IGHV4OR15-8,AABR07065812.2,Ighv3-1
IGHV4OR15-8,AABR07065812.2,Ighv3-3
IGHV4OR15-8,AABR07065812.2,Ighv3-4
IGHV4OR15-8,AABR07065812.2,Ighv3-5
IGHV4OR15-8,AABR07065812.2,Ighv3-6
IGHV4OR15-8,AABR07065812.2,Ighv3-8
IGHV4OR15-8,AABR07065812.2,Ighv12-3
GRAMD2B,Gramd2b,Gramd3
MTMR9,Mtmr9,Mtmr9
KIR3DL1,Kir3dl1,Kir3dl2
KIR3DL1,Kir3dl1,Kir3dl1
IZUMO1,Izumo1,Izumo1
IGHV3OR16-13,AABR07065778.2,Ighv4-1
IGHV3OR16-13,AABR07065778.2,Ighv11-1
IGHV3OR16-13,AABR07065778.2,Ighv11-2
RAB39A,Rab39a,Rab39
Y_RNA,Y_RNA,NA
S1PR4,S1pr4,S1pr4
IDI1,Idi1,Idi1
APC2,Apc2,Apc2
NLRP10,Nlrp10,Nlrp10
ZNHIT2,Znhit2,Znhit2
CDK18,Cdk18,Cdk18
RAPGEF2,Rapgef2,Rapgef2
CREB5,Creb5,Creb5
RAD54B,Rad54b,Rad54b
PDXDC1,AABR07028989.1,Pdxdc1
FIGN,Fign,Fign
LNX2,Lnx2,Lnx2
AGGF1,Aggf1,Aggf1
RPP25,Rpp25,Rpp25
CPA2,Cpa2,Cpa2
CDC25B,Cdc25b,Cdc25b
PIP,Pip,Pip
DEGS1,Degs1,9130409I23Rik
DEGS1,Degs1,Degs1
ADGRG2,Adgrg2,Adgrg2
AKR1B10,Akr1b8,Akr1b8
AKR1B10,Akr1b8,Akr1b10
AKR1B10,Akr1b8,Akr1b7
AKR1B10,Akr1b8,Akr1b8
AKR1B10,Akr1b8,Akr1b10
AKR1B10,Akr1b8,Akr1b7
RNU6-6P,U6,Gm22363
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,Gm22363
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
RNU6-6P,U6,U6
HOXA2,Hoxa2,Hoxa2
HOXA2,Hoxa2,Hoxa2
WFDC10A,Wfdc10a,Wfdc10
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,Gm16367
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,Oog1
PRAMEF26,RGD1562932,Gm2042
PRAMEF26,RGD1562932,Pramel51
PRAMEF26,RGD1562932,Pramel32
PRAMEF26,RGD1562932,Pramel17
PRAMEF26,RGD1562932,C130073F10Rik
PRAMEF26,RGD1562932,Pramel18
PRAMEF26,RGD1562932,Pramel19
PRAMEF26,RGD1562932,Gm12790
PRAMEF26,RGD1562932,Gm12789
PRAMEF26,RGD1562932,Pramel21
PRAMEF26,RGD1562932,Pramel22
PRAMEF26,RGD1562932,Pramel23
PRAMEF26,RGD1562932,Pramel24
PRAMEF26,RGD1562932,Pramel25
PRAMEF26,RGD1562932,Pramel26
PRAMEF26,RGD1562932,Pramel27
PRAMEF26,RGD1562932,Pramel11
PRAMEF26,RGD1562932,Pramel16
PRAMEF26,RGD1562932,Pramel28
PRAMEF26,RGD1562932,Pramel14
PRAMEF26,RGD1562932,Pramel4
PRAMEF26,RGD1562932,Gm13102
PRAMEF26,RGD1562932,Oog3
PRAMEF26,RGD1562932,Oog2
PRAMEF26,RGD1562932,Pramel29
PRAMEF26,RGD1562932,Pramel5
PRAMEF26,RGD1562932,Pramel30
PRAMEF26,RGD1562932,Pramel31
PRAMEF26,RGD1562932,Pramel15
PRAMEF26,RGD1562932,Pramel13
PRAMEF26,RGD1562932,Pramel1
PRAMEF26,RGD1562932,Pramel12
PRAMEF26,RGD1562932,Oog4
PRAMEF26,RGD1562932,Gm13043
PRAMEF26,RGD1562932,Gm13040
PRAMEF26,RGD1562932,Gm13057
PRAMEF26,RGD1562932,Pramel20
PRAMEF26,RGD1562932,Pramel33
PRAMEF26,RGD1562932,Pramel34
PRAMEF26,RGD1562932,Pramel35
PRAMEF26,RGD1562932,Pramel36
PRAMEF26,RGD1562932,Pramel37
PRAMEF26,RGD1562932,Gm6351
PRAMEF26,RGD1562932,Pramel38
PRAMEF26,RGD1562932,Pramel39
PRAMEF26,RGD1562932,Pramel40
PRAMEF26,RGD1562932,AA792892
PRAMEF26,RGD1562932,Pramel41
PRAMEF26,RGD1562932,Pramel41
PRAMEF26,RGD1562932,Pramel42
PRAMEF26,RGD1562932,Pramel43
PRAMEF26,RGD1562932,Pramel44
PRAMEF26,RGD1562932,Gm6205
PRAMEF26,RGD1562932,Gm3183
PRAMEF26,RGD1562932,Gm6367
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Gm16513
PRAMEF26,RGD1562932,Pramel46
PRAMEF26,RGD1562932,Pramel47
PRAMEF26,RGD1562932,Pramel48
PRAMEF26,RGD1562932,Gm3286
PRAMEF26,RGD1562932,Pramel49
PRAMEF26,RGD1562932,Pramel50
PRAMEF26,RGD1562932,Gm7982
PRAMEF26,RGD1562932,E330014E10Rik
PRAMEF26,RGD1562932,Pramel7
PRAMEF26,RGD1562932,Pramel6
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,Gm16367
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,Oog1
PRAMEF26,RGD1562932,Gm2042
PRAMEF26,RGD1562932,Pramel51
PRAMEF26,RGD1562932,Pramel32
PRAMEF26,RGD1562932,Pramel17
PRAMEF26,RGD1562932,C130073F10Rik
PRAMEF26,RGD1562932,Pramel18
PRAMEF26,RGD1562932,Pramel19
PRAMEF26,RGD1562932,Gm12790
PRAMEF26,RGD1562932,Gm12789
PRAMEF26,RGD1562932,Pramel21
PRAMEF26,RGD1562932,Pramel22
PRAMEF26,RGD1562932,Pramel23
PRAMEF26,RGD1562932,Pramel24
PRAMEF26,RGD1562932,Pramel25
PRAMEF26,RGD1562932,Pramel26
PRAMEF26,RGD1562932,Pramel27
PRAMEF26,RGD1562932,Pramel11
PRAMEF26,RGD1562932,Pramel16
PRAMEF26,RGD1562932,Pramel28
PRAMEF26,RGD1562932,Pramel14
PRAMEF26,RGD1562932,Pramel4
PRAMEF26,RGD1562932,Gm13102
PRAMEF26,RGD1562932,Oog3
PRAMEF26,RGD1562932,Oog2
PRAMEF26,RGD1562932,Pramel29
PRAMEF26,RGD1562932,Pramel5
PRAMEF26,RGD1562932,Pramel30
PRAMEF26,RGD1562932,Pramel31
PRAMEF26,RGD1562932,Pramel15
PRAMEF26,RGD1562932,Pramel13
PRAMEF26,RGD1562932,Pramel1
PRAMEF26,RGD1562932,Pramel12
PRAMEF26,RGD1562932,Oog4
PRAMEF26,RGD1562932,Gm13043
PRAMEF26,RGD1562932,Gm13040
PRAMEF26,RGD1562932,Gm13057
PRAMEF26,RGD1562932,Pramel20
PRAMEF26,RGD1562932,Pramel33
PRAMEF26,RGD1562932,Pramel34
PRAMEF26,RGD1562932,Pramel35
PRAMEF26,RGD1562932,Pramel36
PRAMEF26,RGD1562932,Pramel37
PRAMEF26,RGD1562932,Gm6351
PRAMEF26,RGD1562932,Pramel38
PRAMEF26,RGD1562932,Pramel39
PRAMEF26,RGD1562932,Pramel40
PRAMEF26,RGD1562932,AA792892
PRAMEF26,RGD1562932,Pramel41
PRAMEF26,RGD1562932,Pramel41
PRAMEF26,RGD1562932,Pramel42
PRAMEF26,RGD1562932,Pramel43
PRAMEF26,RGD1562932,Pramel44
PRAMEF26,RGD1562932,Gm6205
PRAMEF26,RGD1562932,Gm3183
PRAMEF26,RGD1562932,Gm6367
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Pramel45
PRAMEF26,RGD1562932,Gm16513
PRAMEF26,RGD1562932,Pramel46
PRAMEF26,RGD1562932,Pramel47
PRAMEF26,RGD1562932,Pramel48
PRAMEF26,RGD1562932,Gm3286
PRAMEF26,RGD1562932,Pramel49
PRAMEF26,RGD1562932,Pramel50
PRAMEF26,RGD1562932,Gm7982
PRAMEF26,RGD1562932,E330014E10Rik
PRAMEF26,RGD1562932,Pramel7
PRAMEF26,RGD1562932,Pramel6
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
PRAMEF26,RGD1562932,
